TIPO,ANTONIO,BARRIOS,BOSA,CANDELARIA,CHAPINERO,CIUDAD,ENGATIVA,FONTIBON,KENNEDY,MARTIRES,PUENTE,RAFAEL,SANC,SANTA,SUBA,TEUSAQUILLO,TUNJUELITO,USAQUEN,USME,Otro
AUTOMOVIL,13343,14247,11557,5512,36058,9468,23729,43834,24656,18570,20283,9748,12157,14727,25087,24625,12584,32545,7998,23072
MOTOCICLETA,8965,7409,11347,3524,17124,13345,15219,13716,19401,11906,14007,10767,9511,10453,15768,12750,12798,8621,8981,29884
CAMIONETA,3874,4491,3921,1878,10848,3202,8049,11041,9054,8038,6451,3030,3201,5810,7458,6443,3880,9395,2477,7293
CAMPERO,1044,1721,860,886,6579,666,2244,3996,1843,2224,1923,735,783,1632,2750,2607,945,5244,569,1901
CAMION,447,402,867,148,767,906,1354,1609,1908,1088,1121,438,354,501,1114,404,737,836,492,1379
MICRO,367,233,1194,72,303,405,992,1080,1443,206,675,243,275,193,835,296,480,487,363,1225
BUS,168,189,657,48,229,391,813,670,700,156,444,232,219,285,682,214,460,936,406,935
BUSETA,98,78,304,18,91,154,363,334,304,64,258,89,89,118,273,75,199,287,128,370
VOLQUETA,66,52,113,19,66,362,128,92,167,57,73,106,31,19,287,40,154,114,125,203
MICROBUS,39,55,77,37,146,54,138,238,211,80,82,46,77,76,154,71,50,186,17,18
TRACTOCAMION,17,44,72,3,6,80,118,299,113,13,40,14,3,6,74,6,39,79,42,133
CUATRICICLO,14,8,28,5,21,30,22,21,19,8,41,22,57,15,24,15,35,11,13,51
BUS_ARTICULADO,17,3,17,17,13,15,29,27,36,18,14,11,35,37,37,20,33,5,13,6
MOTOCARRO,15,16,14,13,20,12,35,24,33,24,20,8,8,22,19,10,12,10,10,36
BICICLETA,3,5,22,4,5,7,10,8,18,15,17,2,9,10,21,6,8,15,8,17
TRACCION_ANIMAL,5,13,6,1,7,6,12,28,4,3,2,2,3,4,4,14,2,12,8,10
SIN_INFORMACION,7,3,3,2,1,4,8,8,11,3,8,3,22,3,14,4,4,8,6,14
CICLOMOTO,0,1,1,0,3,1,4,6,2,1,0,1,1,0,5,1,2,1,0,2
MOTOTRICICLO,1,0,0,0,3,0,4,2,2,1,1,0,1,1,4,1,0,3,1,2
MAQ_INDUSTRIAL,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,0,0,1,0,0
MINIBUS,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,0,0
MINIVAN,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0
AMBULANCIA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
CUATRIMOTO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAQ_AGRICOLA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MONTACARGAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
